subject,depth,target,time_window,accuracy,time,itr
10,low,"(1, 8)","[0, 500]",0.1145833333333333,0.0931771298249562,0.074186243289998
10,low,"(1, 8)","[0, 1000]",0.125,0.0642188439766566,0.0
10,low,"(1, 8)","[0, 1500]",0.125,0.0875718916455904,0.0
10,low,"(1, 8)","[0, 2000]",0.125,0.0846296673019727,0.0
10,low,"(2, 9)","[0, 500]",0.125,0.0721215531229972,0.0
10,low,"(2, 9)","[0, 1000]",0.125,0.0563236226638158,0.0
10,low,"(2, 9)","[0, 1500]",0.125,0.0800525670250256,0.0
10,low,"(2, 9)","[0, 2000]",0.1354166666666666,0.0797596002618471,0.0201737672013901
10,low,"(3, 10)","[0, 500]",0.1041666666666666,0.0552432586749394,0.3254502447259372
10,low,"(3, 10)","[0, 1000]",0.1041666666666666,0.0518564209342002,0.1717953618210503
10,low,"(3, 10)","[0, 1500]",0.125,0.0764395321408907,0.0
10,low,"(3, 10)","[0, 2000]",0.1041666666666666,0.0756604348619778,0.0870585821183232
10,low,"(4, 11)","[0, 500]",0.1145833333333333,0.0475234265128771,0.0803720548498247
10,low,"(4, 11)","[0, 1000]",0.15625,0.0499405389030774,0.3446983367329676
10,low,"(4, 11)","[0, 1500]",0.2708333333333333,0.0743660007913907,4.204072956681235
10,low,"(4, 11)","[0, 2000]",0.3645833333333333,0.0735560953617096,7.805079679176688
10,low,"(5, 12)","[0, 500]",0.1145833333333333,0.0451855808496475,0.0807167034731113
10,low,"(5, 12)","[0, 1000]",0.25,0.0490013758341471,4.759136789396496
10,low,"(5, 12)","[0, 1500]",0.34375,0.0711034437020619,8.75733272398003
10,low,"(5, 12)","[0, 2000]",0.5,0.0713425378004709,17.273508212825803
10,low,"(6, 13)","[0, 500]",0.1041666666666666,0.0430905272563298,0.332732841670237
10,low,"(6, 13)","[0, 1000]",0.3333333333333333,0.0478711649775505,12.032064146642076
10,low,"(6, 13)","[0, 1500]",0.4479166666666667,0.0694912547866503,17.506850337520632
10,low,"(6, 13)","[0, 2000]",0.5416666666666666,0.070964182416598,20.81091035672384
10,low,"(7, 14)","[0, 500]",0.1041666666666666,0.0424737731615702,0.3331111352444408
10,low,"(7, 14)","[0, 1000]",0.28125,0.0476067488392194,7.1629098885417815
10,low,"(7, 14)","[0, 1500]",0.4375,0.0696064755320549,16.519941327622593
10,low,"(7, 14)","[0, 2000]",0.4895833333333333,0.0711440195639928,16.437071319618823
10,low,"(8, 15)","[0, 500]",0.125,0.0419530794024467,0.0
10,low,"(8, 15)","[0, 1000]",0.2604166666666667,0.0475374410549799,5.518806733869638
10,low,"(8, 15)","[0, 1500]",0.3958333333333333,0.0693440164128939,12.82429049291832
10,low,"(8, 15)","[0, 2000]",0.4583333333333333,0.0729164630174636,14.01980053729007
10,low,"(9, 16)","[0, 500]",0.1458333333333333,0.0415476684768994,0.303216162708376
10,low,"(9, 16)","[0, 1000]",0.25,0.0471349780758222,4.767619403788399
10,low,"(9, 16)","[0, 1500]",0.34375,0.0697851628065109,8.764686994296463
10,low,"(9, 16)","[0, 2000]",0.3854166666666667,0.0731614405910174,9.054822438667538
10,low,"(10, 17)","[0, 500]",0.1770833333333333,0.0393547589580218,1.7939357975351409
10,low,"(10, 17)","[0, 1000]",0.2083333333333333,0.0463112791379292,2.249377676207293
10,low,"(10, 17)","[0, 1500]",0.2916666666666667,0.0701092307766278,5.372586501040735
10,low,"(10, 17)","[0, 2000]",0.3125,0.0745558043320973,5.029662490284139
10,low,"(11, 18)","[0, 500]",0.1979166666666666,0.0405211051305135,3.388463111631666
10,low,"(11, 18)","[0, 1000]",0.3333333333333333,0.0458420937259992,12.055407934010391
10,low,"(11, 18)","[0, 1500]",0.4583333333333333,0.0717530002196629,18.490103303704892
10,low,"(11, 18)","[0, 2000]",0.5208333333333334,0.0753205319245656,18.967531766367443
10,low,"(12, 19)","[0, 500]",0.1770833333333333,0.0386577720443407,1.7962570297529934
10,low,"(12, 19)","[0, 1000]",0.3229166666666667,0.0461025858918825,10.992901003454415
10,low,"(12, 19)","[0, 1500]",0.4479166666666667,0.0720676407217979,17.478159203748792
10,low,"(12, 19)","[0, 2000]",0.5208333333333334,0.0758501763145129,18.96269228088539
10,low,"(13, 20)","[0, 500]",0.1979166666666666,0.0392794335881869,3.3962649263419777
10,low,"(13, 20)","[0, 1000]",0.3333333333333333,0.0459928512573242,12.05367040441154
10,low,"(13, 20)","[0, 1500]",0.4375,0.0726601878801981,16.487863737554797
10,low,"(13, 20)","[0, 2000]",0.53125,0.0748017753163973,19.86325603427313
10,low,"(14, 21)","[0, 500]",0.2083333333333333,0.0385433907310167,4.370212826234962
10,low,"(14, 21)","[0, 1000]",0.3125,0.0464194814364115,9.971446153436757
10,low,"(14, 21)","[0, 1500]",0.4270833333333333,0.0718758131066958,15.53617313665695
10,low,"(14, 21)","[0, 2000]",0.4791666666666667,0.0742794126272201,15.5935215924272
10,low,"(15, 22)","[0, 500]",0.1875,0.0387172152598698,2.540687216618478
10,low,"(15, 22)","[0, 1000]",0.2708333333333333,0.0456520840525627,6.329781797205085
10,low,"(15, 22)","[0, 1500]",0.3958333333333333,0.0716272965073585,12.805659200834514
10,low,"(15, 22)","[0, 2000]",0.4895833333333333,0.0743675927321116,16.411528063807257
10,low,"(16, 23)","[0, 500]",0.21875,0.0381539538502693,5.449240417663088
10,low,"(16, 23)","[0, 1000]",0.28125,0.0464692711830139,7.170695735843745
10,low,"(16, 23)","[0, 1500]",0.3645833333333333,0.072025994459788,10.295167255871116
10,low,"(16, 23)","[0, 2000]",0.5,0.0745544756452242,17.24676442981515
10,low,"(17, 24)","[0, 500]",0.1979166666666666,0.0373337094982465,3.408563046423023
10,low,"(17, 24)","[0, 1000]",0.28125,0.0450066154201825,7.1807322842127
10,low,"(17, 24)","[0, 1500]",0.40625,0.0721262171864509,13.687588478948864
10,low,"(17, 24)","[0, 2000]",0.5208333333333334,0.0722499589125315,18.99563705882805
10,low,"(18, 25)","[0, 500]",0.1666666666666666,0.0366216649611791,1.1757046713053765
10,low,"(18, 25)","[0, 1000]",0.28125,0.0444912388920784,7.184275426305312
10,low,"(18, 25)","[0, 1500]",0.375,0.0709087749322255,11.113408064128468
10,low,"(18, 25)","[0, 2000]",0.4895833333333333,0.0705408776799837,16.44185938551512
10,low,"(19, 26)","[0, 500]",0.1770833333333333,0.0363867978254954,1.8038620890526
10,low,"(19, 26)","[0, 1000]",0.3125,0.0439190492033958,9.99533011780244
10,low,"(19, 26)","[0, 1500]",0.40625,0.0696149791280428,13.709487348144965
10,low,"(19, 26)","[0, 2000]",0.5208333333333334,0.0703914165496826,19.01268900171234
10,low,"(20, 27)","[0, 500]",0.125,0.0361105576157569,0.0
10,low,"(20, 27)","[0, 1000]",0.2916666666666667,0.0434772446751594,8.084074378695242
10,low,"(20, 27)","[0, 1500]",0.46875,0.0694588546951611,19.551157925524585
10,low,"(20, 27)","[0, 2000]",0.625,0.0714714179436365,28.75659956599355
10,low,"(21, 28)","[0, 500]",0.1145833333333333,0.036690870920817,0.0819942824660968
10,low,"(21, 28)","[0, 1000]",0.3125,0.0431689197818438,10.002517631787285
10,low,"(21, 28)","[0, 1500]",0.5416666666666666,0.0671506424744923,27.501280849558903
10,low,"(21, 28)","[0, 2000]",0.65625,0.0699509928623835,32.07640210701554
10,low,"(22, 29)","[0, 500]",0.1145833333333333,0.0367607846856117,0.0819836026080624
10,low,"(22, 29)","[0, 1000]",0.34375,0.0433769971132278,13.186677143886357
10,low,"(22, 29)","[0, 1500]",0.5625,0.0666403099894523,29.99091016558509
10,low,"(22, 29)","[0, 2000]",0.65625,0.0713714410861333,32.05440563284704
10,low,"(23, 30)","[0, 500]",0.0833333333333333,0.0358860964576403,1.4302820574750998
10,low,"(23, 30)","[0, 1000]",0.3541666666666667,0.043329340716203,14.330028446047914
10,low,"(23, 30)","[0, 1500]",0.5625,0.0650481556852658,30.02142050901009
10,low,"(23, 30)","[0, 2000]",0.7083333333333334,0.068641888598601,38.00533148979726
10,low,"(24, 31)","[0, 500]",0.0520833333333333,0.0358008022109667,4.891340609632652
10,low,"(24, 31)","[0, 1000]",0.3125,0.0433937832713127,10.00036197296104
10,low,"(24, 31)","[0, 1500]",0.5729166666666666,0.0674930264552434,31.250722984413716
10,low,"(24, 31)","[0, 2000]",0.6979166666666666,0.0697738503416379,36.76118159913172
10,low,"(25, 32)","[0, 500]",0.1354166666666666,0.0352808907628059,0.0783823721985444
10,low,"(25, 32)","[0, 1000]",0.2708333333333333,0.0433232163389523,6.343910903344828
10,low,"(25, 32)","[0, 1500]",0.5104166666666666,0.0662892286976178,23.975607395686904
10,low,"(25, 32)","[0, 2000]",0.65625,0.0702234208583831,32.072181060216025
10,low,"(26, 33)","[0, 500]",0.1145833333333333,0.0349018077055613,0.0822685252383368
10,low,"(26, 33)","[0, 1000]",0.3125,0.0438460012276967,9.996029587485411
10,low,"(26, 33)","[0, 1500]",0.5520833333333334,0.0656841546297073,28.75600205400656
10,low,"(26, 33)","[0, 2000]",0.6666666666666666,0.0718069622913996,33.18607996158869
10,low,"(27, 34)","[0, 500]",0.1666666666666666,0.0357930039366086,1.177523023972093
10,low,"(27, 34)","[0, 1000]",0.3645833333333333,0.0437442436814308,15.505973461905258
10,low,"(27, 34)","[0, 1500]",0.53125,0.0656528646747271,26.32276912292184
10,low,"(27, 34)","[0, 2000]",0.65625,0.0702621961633364,32.07158035920171
10,low,"(28, 35)","[0, 500]",0.1979166666666666,0.0352935244639714,3.421554235364939
10,low,"(28, 35)","[0, 1000]",0.375,0.0433099915583928,16.733425720638134
10,low,"(28, 35)","[0, 1500]",0.4895833333333333,0.0653857812285423,21.74770102744729
10,low,"(28, 35)","[0, 2000]",0.5729166666666666,0.070249892771244,23.661535025697404
10,low,"(29, 36)","[0, 500]",0.1875,0.0346323400735855,2.560099417095999
10,low,"(29, 36)","[0, 1000]",0.3333333333333333,0.0425249561667442,12.09376619700784
10,low,"(29, 36)","[0, 1500]",0.4375,0.065922662615776,16.55880427704642
10,low,"(29, 36)","[0, 2000]",0.5416666666666666,0.0698469132184982,20.822143742621844
10,low,"(30, 37)","[0, 500]",0.2083333333333333,0.0346812978386879,4.401779608096216
10,low,"(30, 37)","[0, 1000]",0.3125,0.042454940577348,10.009368373535168
10,low,"(30, 37)","[0, 1500]",0.3958333333333333,0.0661909679571787,12.850108295575604
10,low,"(30, 37)","[0, 2000]",0.5208333333333334,0.0703269566098849,19.013280964631303
10,low,"(31, 38)","[0, 500]",0.1770833333333333,0.0345976774891217,1.8098990145452347
10,low,"(31, 38)","[0, 1000]",0.2395833333333333,0.0423760662476221,4.080705987796867
10,low,"(31, 38)","[0, 1500]",0.375,0.0665624688069025,11.144241353259364
10,low,"(31, 38)","[0, 2000]",0.5,0.0699766973654429,17.284905856094877
10,low,"(32, 39)","[0, 500]",0.1979166666666666,0.0347574253877004,3.4249843739247923
10,low,"(32, 39)","[0, 1000]",0.25,0.0421803022424379,4.79028535572771
10,low,"(32, 39)","[0, 1500]",0.2916666666666667,0.067227691411972,5.382464656957454
10,low,"(32, 39)","[0, 2000]",0.40625,0.0691674674550692,10.3996496350685
10,low,"(33, 40)","[0, 500]",0.1770833333333333,0.0344983637332916,1.8102353071908328
10,low,"(33, 40)","[0, 1000]",0.1875,0.042165828247865,1.313334121196619
