,subject,depth,target,time_window,accuracy
0,12,low,"(1, 16)","[0, 500]",0.06770833333333333
1,12,low,"(1, 16)","[0, 1000]",0.0625
2,12,low,"(1, 16)","[0, 1500]",0.06770833333333333
3,12,low,"(1, 16)","[0, 2000]",0.10416666666666667
4,12,low,"(2, 17)","[0, 500]",0.0625
5,12,low,"(2, 17)","[0, 1000]",0.09375
6,12,low,"(2, 17)","[0, 1500]",0.16145833333333334
7,12,low,"(2, 17)","[0, 2000]",0.19270833333333334
8,12,low,"(3, 18)","[0, 500]",0.06770833333333333
9,12,low,"(3, 18)","[0, 1000]",0.13541666666666666
10,12,low,"(3, 18)","[0, 1500]",0.22916666666666666
11,12,low,"(3, 18)","[0, 2000]",0.3177083333333333
12,12,low,"(4, 19)","[0, 500]",0.06770833333333333
13,12,low,"(4, 19)","[0, 1000]",0.22916666666666666
14,12,low,"(4, 19)","[0, 1500]",0.296875
15,12,low,"(4, 19)","[0, 2000]",0.390625
16,12,low,"(5, 20)","[0, 500]",0.0625
17,12,low,"(5, 20)","[0, 1000]",0.2552083333333333
18,12,low,"(5, 20)","[0, 1500]",0.3697916666666667
19,12,low,"(5, 20)","[0, 2000]",0.4479166666666667
20,12,low,"(6, 21)","[0, 500]",0.10416666666666667
21,12,low,"(6, 21)","[0, 1000]",0.359375
22,12,low,"(6, 21)","[0, 1500]",0.4479166666666667
23,12,low,"(6, 21)","[0, 2000]",0.5208333333333334
24,12,low,"(7, 22)","[0, 500]",0.140625
25,12,low,"(7, 22)","[0, 1000]",0.4114583333333333
26,12,low,"(7, 22)","[0, 1500]",0.484375
27,12,low,"(7, 22)","[0, 2000]",0.546875
28,12,low,"(8, 23)","[0, 500]",0.203125
29,12,low,"(8, 23)","[0, 1000]",0.4739583333333333
30,12,low,"(8, 23)","[0, 1500]",0.5520833333333334
31,12,low,"(8, 23)","[0, 2000]",0.6354166666666666
32,12,low,"(9, 24)","[0, 500]",0.23958333333333334
33,12,low,"(9, 24)","[0, 1000]",0.46875
34,12,low,"(9, 24)","[0, 1500]",0.546875
35,12,low,"(9, 24)","[0, 2000]",0.640625
36,12,low,"(10, 25)","[0, 500]",0.2604166666666667
37,12,low,"(10, 25)","[0, 1000]",0.4635416666666667
38,12,low,"(10, 25)","[0, 1500]",0.5520833333333334
39,12,low,"(10, 25)","[0, 2000]",0.6666666666666666
40,12,low,"(11, 26)","[0, 500]",0.3177083333333333
41,12,low,"(11, 26)","[0, 1000]",0.5104166666666666
42,12,low,"(11, 26)","[0, 1500]",0.6302083333333334
43,12,low,"(11, 26)","[0, 2000]",0.7447916666666666
44,12,low,"(12, 27)","[0, 500]",0.3854166666666667
45,12,low,"(12, 27)","[0, 1000]",0.5885416666666666
46,12,low,"(12, 27)","[0, 1500]",0.6822916666666666
47,12,low,"(12, 27)","[0, 2000]",0.75
48,12,low,"(13, 28)","[0, 500]",0.375
49,12,low,"(13, 28)","[0, 1000]",0.625
50,12,low,"(13, 28)","[0, 1500]",0.6770833333333334
51,12,low,"(13, 28)","[0, 2000]",0.7395833333333334
52,12,low,"(14, 29)","[0, 500]",0.3385416666666667
53,12,low,"(14, 29)","[0, 1000]",0.6041666666666666
54,12,low,"(14, 29)","[0, 1500]",0.6614583333333334
55,12,low,"(14, 29)","[0, 2000]",0.734375
56,12,low,"(15, 30)","[0, 500]",0.3177083333333333
57,12,low,"(15, 30)","[0, 1000]",0.5520833333333334
58,12,low,"(15, 30)","[0, 1500]",0.609375
59,12,low,"(15, 30)","[0, 2000]",0.6875
60,12,low,"(16, 31)","[0, 500]",0.296875
61,12,low,"(16, 31)","[0, 1000]",0.5104166666666666
62,12,low,"(16, 31)","[0, 1500]",0.5833333333333334
63,12,low,"(16, 31)","[0, 2000]",0.6354166666666666
64,12,low,"(17, 32)","[0, 500]",0.2708333333333333
65,12,low,"(17, 32)","[0, 1000]",0.4479166666666667
66,12,low,"(17, 32)","[0, 1500]",0.53125
67,12,low,"(17, 32)","[0, 2000]",0.578125
68,12,low,"(18, 33)","[0, 500]",0.265625
69,12,low,"(18, 33)","[0, 1000]",0.421875
70,12,low,"(18, 33)","[0, 1500]",0.4895833333333333
71,12,low,"(18, 33)","[0, 2000]",0.53125
72,12,low,"(19, 34)","[0, 500]",0.234375
73,12,low,"(19, 34)","[0, 1000]",0.375
74,12,low,"(19, 34)","[0, 1500]",0.4375
75,12,low,"(19, 34)","[0, 2000]",0.4947916666666667
76,12,low,"(20, 35)","[0, 500]",0.21354166666666666
77,12,low,"(20, 35)","[0, 1000]",0.3229166666666667
78,12,low,"(20, 35)","[0, 1500]",0.40625
79,12,low,"(20, 35)","[0, 2000]",0.4479166666666667
80,12,low,"(21, 36)","[0, 500]",0.19791666666666666
81,12,low,"(21, 36)","[0, 1000]",0.2760416666666667
82,12,low,"(21, 36)","[0, 1500]",0.359375
83,12,low,"(21, 36)","[0, 2000]",0.421875
84,12,low,"(22, 37)","[0, 500]",0.18229166666666666
85,12,low,"(22, 37)","[0, 1000]",0.23958333333333334
86,12,low,"(22, 37)","[0, 1500]",0.34375
87,12,low,"(22, 37)","[0, 2000]",0.4010416666666667
88,12,low,"(23, 38)","[0, 500]",0.15625
89,12,low,"(23, 38)","[0, 1000]",0.19270833333333334
90,12,low,"(23, 38)","[0, 1500]",0.3020833333333333
91,12,low,"(23, 38)","[0, 2000]",0.3802083333333333
92,12,low,"(24, 39)","[0, 500]",0.13541666666666666
93,12,low,"(24, 39)","[0, 1000]",0.17708333333333334
94,12,low,"(24, 39)","[0, 1500]",0.265625
95,12,low,"(24, 39)","[0, 2000]",0.3385416666666667
96,12,low,"(25, 40)","[0, 500]",0.11458333333333333
97,12,low,"(25, 40)","[0, 1000]",0.16145833333333334
98,12,low,"(25, 40)","[0, 1500]",0.265625
99,12,low,"(25, 40)","[0, 2000]",0.3333333333333333
100,12,low,"(26, 41)","[0, 500]",0.109375
101,12,low,"(26, 41)","[0, 1000]",0.14583333333333334
102,12,low,"(26, 41)","[0, 1500]",0.2552083333333333
103,12,low,"(26, 41)","[0, 2000]",0.3072916666666667
104,12,low,"(27, 42)","[0, 500]",0.10416666666666667
105,12,low,"(27, 42)","[0, 1000]",0.13541666666666666
106,12,low,"(27, 42)","[0, 1500]",0.22395833333333334
107,12,low,"(27, 42)","[0, 2000]",0.296875
108,12,low,"(28, 43)","[0, 500]",0.08854166666666667
109,12,low,"(28, 43)","[0, 1000]",0.14583333333333334
110,12,low,"(28, 43)","[0, 1500]",0.234375
111,12,low,"(28, 43)","[0, 2000]",0.2864583333333333
112,12,low,"(29, 44)","[0, 500]",0.09895833333333333
113,12,low,"(29, 44)","[0, 1000]",0.109375
114,12,low,"(29, 44)","[0, 1500]",0.21875
115,12,low,"(29, 44)","[0, 2000]",0.2604166666666667
116,12,low,"(30, 45)","[0, 500]",0.09895833333333333
117,12,low,"(30, 45)","[0, 1000]",0.08854166666666667
118,12,low,"(30, 45)","[0, 1500]",0.17708333333333334
119,12,low,"(30, 45)","[0, 2000]",0.22395833333333334
120,12,low,"(31, 46)","[0, 500]",0.10416666666666667
121,12,low,"(31, 46)","[0, 1000]",0.07291666666666667
122,12,low,"(31, 46)","[0, 1500]",0.15104166666666666
123,12,low,"(31, 46)","[0, 2000]",0.20833333333333334
124,12,low,"(32, 47)","[0, 500]",0.11458333333333333
125,12,low,"(32, 47)","[0, 1000]",0.10416666666666667
126,12,low,"(32, 47)","[0, 1500]",0.140625
127,12,low,"(32, 47)","[0, 2000]",0.19270833333333334
128,12,low,"(33, 48)","[0, 500]",0.10416666666666667
129,12,low,"(33, 48)","[0, 1000]",0.078125
130,12,low,"(33, 48)","[0, 1500]",0.13020833333333334
131,12,low,"(33, 48)","[0, 2000]",0.15625
132,12,low,"(34, 49)","[0, 500]",0.09895833333333333
133,12,low,"(34, 49)","[0, 1000]",0.0625
134,12,low,"(34, 49)","[0, 1500]",0.109375
135,12,low,"(34, 49)","[0, 2000]",0.140625
136,12,low,"(35, 50)","[0, 500]",0.10416666666666667
137,12,low,"(35, 50)","[0, 1000]",0.057291666666666664
138,12,low,"(35, 50)","[0, 1500]",0.0625
139,12,low,"(35, 50)","[0, 2000]",0.08854166666666667
140,12,low,"(36, 51)","[0, 500]",0.08854166666666667
141,12,low,"(36, 51)","[0, 1000]",0.041666666666666664
142,12,low,"(36, 51)","[0, 1500]",0.07291666666666667
143,12,low,"(36, 51)","[0, 2000]",0.109375
144,12,low,"(37, 52)","[0, 500]",0.078125
145,12,low,"(37, 52)","[0, 1000]",0.041666666666666664
146,12,low,"(37, 52)","[0, 1500]",0.0625
147,12,low,"(37, 52)","[0, 2000]",0.08854166666666667
148,12,low,"(38, 53)","[0, 500]",0.07291666666666667
149,12,low,"(38, 53)","[0, 1000]",0.057291666666666664
150,12,low,"(38, 53)","[0, 1500]",0.06770833333333333
151,12,low,"(38, 53)","[0, 2000]",0.08854166666666667
152,12,low,"(39, 54)","[0, 500]",0.08333333333333333
153,12,low,"(39, 54)","[0, 1000]",0.06770833333333333
154,12,low,"(39, 54)","[0, 1500]",0.052083333333333336
155,12,low,"(39, 54)","[0, 2000]",0.08333333333333333
156,12,low,"(40, 55)","[0, 500]",0.08854166666666667
157,12,low,"(40, 55)","[0, 1000]",0.078125
158,12,low,"(40, 55)","[0, 1500]",0.0625
159,12,low,"(40, 55)","[0, 2000]",0.078125
160,12,low,"(41, 56)","[0, 500]",0.07291666666666667
161,12,low,"(41, 56)","[0, 1000]",0.057291666666666664
162,12,low,"(41, 56)","[0, 1500]",0.0625
163,12,low,"(41, 56)","[0, 2000]",0.041666666666666664
164,12,low,"(42, 57)","[0, 500]",0.057291666666666664
165,12,low,"(42, 57)","[0, 1000]",0.052083333333333336
166,12,low,"(42, 57)","[0, 1500]",0.057291666666666664
167,12,low,"(42, 57)","[0, 2000]",0.052083333333333336
168,12,low,"(43, 58)","[0, 500]",0.0625
169,12,low,"(43, 58)","[0, 1000]",0.06770833333333333
170,12,low,"(43, 58)","[0, 1500]",0.0625
171,12,low,"(43, 58)","[0, 2000]",0.06770833333333333
172,12,low,"(44, 59)","[0, 500]",0.0625
173,12,low,"(44, 59)","[0, 1000]",0.07291666666666667
174,12,low,"(44, 59)","[0, 1500]",0.057291666666666664
175,12,low,"(44, 59)","[0, 2000]",0.0625
176,12,low,"(45, 60)","[0, 500]",0.07291666666666667
177,12,low,"(45, 60)","[0, 1000]",0.07291666666666667
