Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,13,high,"(1, 2)","[0, 500]",0.5833333333333334,2.279008681001582
1,13,high,"(1, 2)","[0, 1000]",0.5,0.0
2,13,high,"(1, 2)","[0, 1500]",0.5,0.0
3,13,high,"(1, 2)","[0, 2000]",0.5,0.0
4,13,high,"(2, 3)","[0, 500]",0.5,0.0
5,13,high,"(2, 3)","[0, 1000]",0.5833333333333334,1.1726937873114933
6,13,high,"(2, 3)","[0, 1500]",0.6666666666666666,3.2040849390396255
7,13,high,"(2, 3)","[0, 2000]",0.8333333333333334,10.344164877388547
8,13,high,"(3, 4)","[0, 500]",0.4583333333333333,0.5677552997015088
9,13,high,"(3, 4)","[0, 1000]",0.8333333333333334,20.387043399124998
10,13,high,"(3, 4)","[0, 1500]",0.9166666666666666,22.987574497896716
11,13,high,"(3, 4)","[0, 2000]",0.9583333333333334,22.17096671429009
12,13,high,"(4, 5)","[0, 500]",0.6666666666666666,9.249528220246464
13,13,high,"(4, 5)","[0, 1000]",0.9166666666666666,34.146591244448516
14,13,high,"(4, 5)","[0, 1500]",0.9166666666666666,22.987574497896716
15,13,high,"(4, 5)","[0, 2000]",1.0,29.55665024630542
16,13,high,"(5, 6)","[0, 500]",0.7083333333333334,14.61911669033609
17,13,high,"(5, 6)","[0, 1000]",1.0,58.252427184466015
18,13,high,"(5, 6)","[0, 1500]",1.0,39.21568627450981
19,13,high,"(5, 6)","[0, 2000]",1.0,29.55665024630542
20,13,high,"(6, 7)","[0, 500]",0.75,21.36474062726798
21,13,high,"(6, 7)","[0, 1000]",1.0,58.252427184466015
22,13,high,"(6, 7)","[0, 1500]",1.0,39.21568627450981
23,13,high,"(6, 7)","[0, 2000]",1.0,29.55665024630542
24,13,high,"(7, 8)","[0, 500]",0.75,21.36474062726798
25,13,high,"(7, 8)","[0, 1000]",1.0,58.252427184466015
26,13,high,"(7, 8)","[0, 1500]",1.0,39.21568627450981
27,13,high,"(7, 8)","[0, 2000]",1.0,29.55665024630542
28,13,high,"(8, 9)","[0, 500]",0.875,51.67194982646078
29,13,high,"(8, 9)","[0, 1000]",1.0,58.252427184466015
30,13,high,"(8, 9)","[0, 1500]",1.0,39.21568627450981
31,13,high,"(8, 9)","[0, 2000]",1.0,29.55665024630542
32,13,high,"(9, 10)","[0, 500]",0.8333333333333334,39.62010320962028
33,13,high,"(9, 10)","[0, 1000]",1.0,58.252427184466015
34,13,high,"(9, 10)","[0, 1500]",1.0,39.21568627450981
35,13,high,"(9, 10)","[0, 2000]",1.0,29.55665024630542
36,13,high,"(10, 11)","[0, 500]",0.6666666666666666,9.249528220246464
37,13,high,"(10, 11)","[0, 1000]",0.9583333333333334,43.69617711651347
38,13,high,"(10, 11)","[0, 1500]",1.0,39.21568627450981
39,13,high,"(10, 11)","[0, 2000]",1.0,29.55665024630542
40,13,high,"(11, 12)","[0, 500]",0.7916666666666666,29.628128361118808
41,13,high,"(11, 12)","[0, 1000]",1.0,58.252427184466015
42,13,high,"(11, 12)","[0, 1500]",1.0,39.21568627450981
43,13,high,"(11, 12)","[0, 2000]",1.0,29.55665024630542
44,13,high,"(12, 13)","[0, 500]",0.75,21.36474062726798
45,13,high,"(12, 13)","[0, 1000]",1.0,58.252427184466015
46,13,high,"(12, 13)","[0, 1500]",1.0,39.21568627450981
47,13,high,"(12, 13)","[0, 2000]",1.0,29.55665024630542
48,13,high,"(13, 14)","[0, 500]",0.875,51.67194982646078
49,13,high,"(13, 14)","[0, 1000]",1.0,58.252427184466015
50,13,high,"(13, 14)","[0, 1500]",1.0,39.21568627450981
51,13,high,"(13, 14)","[0, 2000]",1.0,29.55665024630542
52,13,high,"(14, 15)","[0, 500]",0.7083333333333334,14.61911669033609
53,13,high,"(14, 15)","[0, 1000]",1.0,58.252427184466015
54,13,high,"(14, 15)","[0, 1500]",1.0,39.21568627450981
55,13,high,"(14, 15)","[0, 2000]",1.0,29.55665024630542
56,13,high,"(15, 16)","[0, 500]",0.875,51.67194982646078
57,13,high,"(15, 16)","[0, 1000]",1.0,58.252427184466015
58,13,high,"(15, 16)","[0, 1500]",1.0,39.21568627450981
59,13,high,"(15, 16)","[0, 2000]",1.0,29.55665024630542
60,13,high,"(16, 17)","[0, 500]",0.9583333333333334,84.91898571699788
61,13,high,"(16, 17)","[0, 1000]",1.0,58.252427184466015
62,13,high,"(16, 17)","[0, 1500]",1.0,39.21568627450981
63,13,high,"(16, 17)","[0, 2000]",1.0,29.55665024630542
64,13,high,"(17, 18)","[0, 500]",0.9166666666666666,66.36035656939995
65,13,high,"(17, 18)","[0, 1000]",1.0,58.252427184466015
66,13,high,"(17, 18)","[0, 1500]",1.0,39.21568627450981
67,13,high,"(17, 18)","[0, 2000]",1.0,29.55665024630542
68,13,high,"(18, 19)","[0, 500]",0.875,51.67194982646078
69,13,high,"(18, 19)","[0, 1000]",1.0,58.252427184466015
70,13,high,"(18, 19)","[0, 1500]",1.0,39.21568627450981
71,13,high,"(18, 19)","[0, 2000]",1.0,29.55665024630542
72,13,high,"(19, 20)","[0, 500]",0.9583333333333334,84.91898571699788
73,13,high,"(19, 20)","[0, 1000]",1.0,58.252427184466015
74,13,high,"(19, 20)","[0, 1500]",1.0,39.21568627450981
75,13,high,"(19, 20)","[0, 2000]",1.0,29.55665024630542
76,13,high,"(20, 21)","[0, 500]",0.9583333333333334,84.91898571699788
77,13,high,"(20, 21)","[0, 1000]",1.0,58.252427184466015
78,13,high,"(20, 21)","[0, 1500]",1.0,39.21568627450981
79,13,high,"(20, 21)","[0, 2000]",1.0,29.55665024630542
80,13,high,"(21, 22)","[0, 500]",1.0,113.20754716981132
81,13,high,"(21, 22)","[0, 1000]",1.0,58.252427184466015
82,13,high,"(21, 22)","[0, 1500]",1.0,39.21568627450981
83,13,high,"(21, 22)","[0, 2000]",1.0,29.55665024630542
84,13,high,"(22, 23)","[0, 500]",0.9583333333333334,84.91898571699788
85,13,high,"(22, 23)","[0, 1000]",1.0,58.252427184466015
86,13,high,"(22, 23)","[0, 1500]",1.0,39.21568627450981
87,13,high,"(22, 23)","[0, 2000]",1.0,29.55665024630542
88,13,high,"(23, 24)","[0, 500]",1.0,113.20754716981132
89,13,high,"(23, 24)","[0, 1000]",1.0,58.252427184466015
90,13,high,"(23, 24)","[0, 1500]",1.0,39.21568627450981
91,13,high,"(23, 24)","[0, 2000]",1.0,29.55665024630542
92,13,high,"(24, 25)","[0, 500]",0.9166666666666666,66.36035656939995
93,13,high,"(24, 25)","[0, 1000]",1.0,58.252427184466015
94,13,high,"(24, 25)","[0, 1500]",1.0,39.21568627450981
95,13,high,"(24, 25)","[0, 2000]",1.0,29.55665024630542
96,13,high,"(25, 26)","[0, 500]",0.9583333333333334,84.91898571699788
97,13,high,"(25, 26)","[0, 1000]",1.0,58.252427184466015
98,13,high,"(25, 26)","[0, 1500]",1.0,39.21568627450981
99,13,high,"(25, 26)","[0, 2000]",1.0,29.55665024630542
100,13,high,"(26, 27)","[0, 500]",0.9583333333333334,84.91898571699788
101,13,high,"(26, 27)","[0, 1000]",1.0,58.252427184466015
102,13,high,"(26, 27)","[0, 1500]",1.0,39.21568627450981
103,13,high,"(26, 27)","[0, 2000]",1.0,29.55665024630542
104,13,high,"(27, 28)","[0, 500]",1.0,113.20754716981132
105,13,high,"(27, 28)","[0, 1000]",1.0,58.252427184466015
106,13,high,"(27, 28)","[0, 1500]",1.0,39.21568627450981
107,13,high,"(27, 28)","[0, 2000]",1.0,29.55665024630542
108,13,high,"(28, 29)","[0, 500]",1.0,113.20754716981132
