subject,depth,target,time_window,accuracy,time,itr
17,high,"(1, 4)","[0, 500]",0.2916666666666667,0.0629019488890965,0.6879094414101664
17,high,"(1, 4)","[0, 1000]",0.25,0.0337676703929901,0.0
17,high,"(1, 4)","[0, 1500]",0.2708333333333333,0.0484544585148493,0.0635588349233563
17,high,"(1, 4)","[0, 2000]",0.25,0.0480594187974929,0.0
17,high,"(2, 5)","[0, 500]",0.25,0.0476067463556925,0.0
17,high,"(2, 5)","[0, 1000]",0.25,0.0317571560541788,0.0
17,high,"(2, 5)","[0, 1500]",0.2916666666666667,0.0471985687812169,0.2502752866001057
17,high,"(2, 5)","[0, 2000]",0.4791666666666667,0.0430756608645121,5.161377122877422
17,high,"(3, 6)","[0, 500]",0.2916666666666667,0.0329084644714991,0.7266267868591942
17,high,"(3, 6)","[0, 1000]",0.6666666666666666,0.0295107116301854,32.25124281585376
17,high,"(3, 6)","[0, 1500]",0.7708333333333334,0.0434333781401316,33.44065200314102
17,high,"(3, 6)","[0, 2000]",0.7916666666666666,0.0409093499183654,27.38528135735872
17,high,"(4, 7)","[0, 500]",0.3541666666666667,0.0286488433678944,4.385984168763945
17,high,"(4, 7)","[0, 1000]",0.8958333333333334,0.0275017321109771,78.99744881086029
17,high,"(4, 7)","[0, 1500]",0.9583333333333334,0.0415659000476201,65.5467639593511
17,high,"(4, 7)","[0, 2000]",0.9791666666666666,0.0414263109366099,53.51804338054448
17,high,"(5, 8)","[0, 500]",0.625,0.026840403676033,51.38615673623148
17,high,"(5, 8)","[0, 1000]",0.9583333333333334,0.0268830309311548,98.39938253393956
17,high,"(5, 8)","[0, 1500]",1.0,0.0429257452487945,77.77431958052536
17,high,"(5, 8)","[0, 2000]",1.0,0.0408777197202046,58.79823119263191
17,high,"(6, 9)","[0, 500]",0.5416666666666666,0.02406441171964,31.89386870244448
17,high,"(6, 9)","[0, 1000]",0.9791666666666666,0.0270067304372787,106.38016152082332
17,high,"(6, 9)","[0, 1500]",1.0,0.0428751508394877,77.7768699785639
17,high,"(6, 9)","[0, 2000]",1.0,0.0404642820358276,58.81014485598968
17,high,"(7, 10)","[0, 500]",0.5416666666666666,0.0231163203716278,31.951672865292892
17,high,"(7, 10)","[0, 1000]",0.9791666666666666,0.0267174045244852,106.41013913413688
17,high,"(7, 10)","[0, 1500]",1.0,0.039469838142395,77.94891268853847
17,high,"(7, 10)","[0, 2000]",1.0,0.0400447100400924,58.822240223177104
17,high,"(8, 11)","[0, 500]",0.4791666666666667,0.0219489783048629,20.20328502326243
17,high,"(8, 11)","[0, 1000]",0.9166666666666666,0.026438017686208,84.9989721491865
17,high,"(8, 11)","[0, 1500]",0.9791666666666666,0.0378271341323852,71.043838050451
17,high,"(8, 11)","[0, 2000]",1.0,0.0387198726336161,58.860465143249
17,high,"(9, 12)","[0, 500]",0.3541666666666667,0.0213068823019663,4.4477553175748845
17,high,"(9, 12)","[0, 1000]",0.8125,0.0236778904994328,58.99945365618084
17,high,"(9, 12)","[0, 1500]",0.9166666666666666,0.0346340338389078,56.85145419323765
17,high,"(9, 12)","[0, 2000]",0.9583333333333334,0.0366148104270299,49.61402404660865
17,high,"(10, 13)","[0, 500]",0.4166666666666667,0.0203585177659988,11.01968523607214
17,high,"(10, 13)","[0, 1000]",0.7916666666666666,0.0231364766756693,54.62700045059162
17,high,"(10, 13)","[0, 1500]",0.8958333333333334,0.0345833152532577,52.89384726049327
17,high,"(10, 13)","[0, 2000]",0.9583333333333334,0.03581203520298,49.63358818542958
17,high,"(11, 14)","[0, 500]",0.5,0.0190741221110026,23.98718111341848
17,high,"(11, 14)","[0, 1000]",0.8333333333333334,0.0225246449311574,63.71389679147872
17,high,"(11, 14)","[0, 1500]",0.9375,0.0342461069424947,61.14989387995969
17,high,"(11, 14)","[0, 2000]",0.9583333333333334,0.0359086742003758,49.63123221521335
17,high,"(12, 15)","[0, 500]",0.6458333333333334,0.0196126103401184,57.84210895265614
17,high,"(12, 15)","[0, 1000]",0.9166666666666666,0.0223537385463714,85.3385410437553
17,high,"(12, 15)","[0, 1500]",0.9791666666666666,0.0340946167707443,71.21669072593923
17,high,"(12, 15)","[0, 2000]",1.0,0.0349810123443603,58.96860917722093
17,high,"(13, 16)","[0, 500]",0.7916666666666666,0.0184001525243123,107.81415958352233
17,high,"(13, 16)","[0, 1000]",0.9791666666666666,0.0221041689316431,106.89041801002288
17,high,"(13, 16)","[0, 1500]",0.9791666666666666,0.032848243912061,71.274597665363
17,high,"(13, 16)","[0, 2000]",1.0,0.0357556939125061,58.94616940472496
17,high,"(14, 17)","[0, 500]",0.8125,0.0176898936430613,116.66527973795178
17,high,"(14, 17)","[0, 1000]",0.9791666666666666,0.0217730402946472,106.92505826478371
17,high,"(14, 17)","[0, 1500]",0.9791666666666666,0.0319854468107223,71.31473872309483
17,high,"(14, 17)","[0, 2000]",1.0,0.0344885190327962,58.98288384396903
17,high,"(15, 18)","[0, 500]",0.8958333333333334,0.0174004783233006,156.88044152674257
17,high,"(15, 18)","[0, 1000]",1.0,0.0224307775497436,117.36735888133192
17,high,"(15, 18)","[0, 1500]",1.0,0.0315702160199483,78.3509621333855
17,high,"(15, 18)","[0, 2000]",1.0,0.034492865204811,58.98275784217099
17,high,"(16, 19)","[0, 500]",0.9166666666666666,0.0171656707922617,168.70063386945452
17,high,"(16, 19)","[0, 1000]",1.0,0.0219787408908208,117.41927223985157
17,high,"(16, 19)","[0, 1500]",1.0,0.0315987070401509,78.34950463747955
17,high,"(16, 19)","[0, 2000]",1.0,0.0340953270594278,58.99428527446496
17,high,"(17, 20)","[0, 500]",0.9583333333333334,0.0172844429810841,195.33673890498372
17,high,"(17, 20)","[0, 1000]",1.0,0.0231912682453791,117.28012515761804
17,high,"(17, 20)","[0, 1500]",1.0,0.0316636612017949,78.34618202395946
17,high,"(17, 20)","[0, 2000]",1.0,0.033876563111941,59.000630705136565
17,high,"(18, 21)","[0, 500]",0.8541666666666666,0.0173279096682866,135.64457391269775
17,high,"(18, 21)","[0, 1000]",1.0,0.022310937444369,117.38111723619316
17,high,"(18, 21)","[0, 1500]",1.0,0.0330354472001393,78.27607653767048
17,high,"(18, 21)","[0, 2000]",1.0,0.0353308965762456,58.958472158929695
17,high,"(19, 22)","[0, 500]",0.8333333333333334,0.0182237575451533,125.71602275144768
17,high,"(19, 22)","[0, 1000]",1.0,0.0231935530900955,117.27986326496487
17,high,"(19, 22)","[0, 1500]",1.0,0.0346802870432535,78.19218179389954
17,high,"(19, 22)","[0, 2000]",1.0,0.0363741765419642,58.92826641701775
17,high,"(20, 23)","[0, 500]",0.8333333333333334,0.018742432196935,125.59032315512232
