Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,17,low,"(1, 8)","[0, 500]",0.1041666666666666,0.1093743195136388,0.29654031788279434
1,17,low,"(1, 8)","[0, 1000]",0.125,0.0704526826739311,0.0
2,17,low,"(1, 8)","[0, 1500]",0.1041666666666666,0.0926537041862805,0.11346098272537616
3,17,low,"(1, 8)","[0, 2000]",0.1458333333333333,0.0854707956314086,0.07873809899577963
4,17,low,"(2, 9)","[0, 500]",0.125,0.0771238803863525,0.0
5,17,low,"(2, 9)","[0, 1000]",0.1354166666666666,0.05750755717357,0.03967497511098378
6,17,low,"(2, 9)","[0, 1500]",0.15625,0.0856717179218928,0.22823939743512128
7,17,low,"(2, 9)","[0, 2000]",0.1770833333333333,0.0841786339879036,0.4642441842014144
8,17,low,"(3, 10)","[0, 500]",0.1458333333333333,0.0578318859140078,0.2943646824529967
9,17,low,"(3, 10)","[0, 1000]",0.2604166666666667,0.0541530549526214,5.484172015167781
10,17,low,"(3, 10)","[0, 1500]",0.3333333333333333,0.0797701825698216,7.9809412872427155
11,17,low,"(3, 10)","[0, 2000]",0.3958333333333333,0.0807222922643025,9.672469807540118
12,17,low,"(4, 11)","[0, 500]",0.15625,0.0517670015494028,0.6559159145293729
13,17,low,"(4, 11)","[0, 1000]",0.5104166666666666,0.0522378012537956,35.68844948413877
14,17,low,"(4, 11)","[0, 1500]",0.6458333333333334,0.0785645470023155,40.59362057050789
15,17,low,"(4, 11)","[0, 2000]",0.65625,0.0798024237155914,31.924465339477578
16,17,low,"(5, 12)","[0, 500]",0.2395833333333333,0.0477683295806249,7.76538186924648
17,17,low,"(5, 12)","[0, 1000]",0.6145833333333334,0.0507561539610227,54.60185856942803
18,17,low,"(5, 12)","[0, 1500]",0.7083333333333334,0.0772064849734306,49.84725935310524
19,17,low,"(5, 12)","[0, 2000]",0.7083333333333334,0.0777275090416272,37.83913933263273
20,17,low,"(6, 13)","[0, 500]",0.3333333333333333,0.0458128849665323,23.09958856174592
21,17,low,"(6, 13)","[0, 1000]",0.75,0.0492611875136693,85.02457706740033
22,17,low,"(6, 13)","[0, 1500]",0.84375,0.0746813168128331,73.77067477210184
23,17,low,"(6, 13)","[0, 2000]",0.84375,0.0757804910341898,55.96222904784552
24,17,low,"(7, 14)","[0, 500]",0.3645833333333333,0.0448353762427965,29.704881968472616
25,17,low,"(7, 14)","[0, 1000]",0.8020833333333334,0.0486797615885734,98.78912089754408
26,17,low,"(7, 14)","[0, 1500]",0.8541666666666666,0.0736980512738227,75.92103840803352
27,17,low,"(7, 14)","[0, 2000]",0.8645833333333334,0.0754217853148778,59.19940481273792
28,17,low,"(8, 15)","[0, 500]",0.5,0.0423721993962923,65.96826381974854
29,17,low,"(8, 15)","[0, 1000]",0.8958333333333334,0.047610692679882,127.46153106797001
30,17,low,"(8, 15)","[0, 1500]",0.9583333333333334,0.0722313026587168,100.48691617938063
31,17,low,"(8, 15)","[0, 2000]",0.9791666666666666,0.0741833324233691,80.86322395824982
32,17,low,"(9, 16)","[0, 500]",0.5104166666666666,0.0411092986663182,69.39953851819631
33,17,low,"(9, 16)","[0, 1000]",0.8958333333333334,0.0461237902442614,127.6426978311775
34,17,low,"(9, 16)","[0, 1500]",0.9583333333333334,0.0713661511739095,100.54224154366402
35,17,low,"(9, 16)","[0, 2000]",0.9791666666666666,0.0744271650910377,80.8537191195426
36,17,low,"(10, 17)","[0, 500]",0.59375,0.0395202413201332,98.42329444587821
37,17,low,"(10, 17)","[0, 1000]",0.90625,0.0445455213387807,131.42247650834628
38,17,low,"(10, 17)","[0, 1500]",0.9583333333333334,0.071043940881888,100.56286206493988
39,17,low,"(10, 17)","[0, 2000]",0.9791666666666666,0.0736549769838651,80.88382744567099
40,17,low,"(11, 18)","[0, 500]",0.5833333333333334,0.0386247262358665,94.7301508158893
41,17,low,"(11, 18)","[0, 1000]",0.8854166666666666,0.0444104646643002,124.36123068699763
42,17,low,"(11, 18)","[0, 1500]",0.9479166666666666,0.0700873533884684,97.77552245855313
43,17,low,"(11, 18)","[0, 2000]",0.96875,0.0738020514448483,78.45438765432046
44,17,low,"(12, 19)","[0, 500]",0.6458333333333334,0.037336528301239,119.25422317677172
45,17,low,"(12, 19)","[0, 1000]",0.9270833333333334,0.0445000057419141,138.93242820153034
46,17,low,"(12, 19)","[0, 1500]",0.96875,0.0692339539527893,103.68044207337739
47,17,low,"(12, 19)","[0, 2000]",0.9895833333333334,0.0735632429520289,83.54354778611514
48,17,low,"(13, 20)","[0, 500]",0.7395833333333334,0.0358215520779291,161.42055196811407
49,17,low,"(13, 20)","[0, 1000]",0.96875,0.0442813535531361,155.79984216782296
50,17,low,"(13, 20)","[0, 1500]",0.9791666666666666,0.0699271336197853,106.83626503957254
51,17,low,"(13, 20)","[0, 2000]",1.0,0.0732628976305325,86.81966971275877
52,17,low,"(14, 21)","[0, 500]",0.84375,0.036325583855311,216.59474541054794
53,17,low,"(14, 21)","[0, 1000]",0.9791666666666666,0.0442365209261576,160.6198863754166
54,17,low,"(14, 21)","[0, 1500]",1.0,0.0717194750905036,114.52425375694676
55,17,low,"(14, 21)","[0, 2000]",1.0,0.0724966550866762,86.85176864252745
56,17,low,"(15, 22)","[0, 500]",0.8854166666666666,0.0358176206549008,242.40369431912492
57,17,low,"(15, 22)","[0, 1000]",0.9583333333333334,0.044967604180177,151.1900220570129
58,17,low,"(15, 22)","[0, 1500]",0.9895833333333334,0.0710831880569458,110.2633082652627
59,17,low,"(15, 22)","[0, 2000]",0.9895833333333334,0.0726521238684654,83.58027277233928
60,17,low,"(16, 23)","[0, 500]",0.8020833333333334,0.0359879210591316,193.28448959384676
61,17,low,"(16, 23)","[0, 1000]",0.9270833333333334,0.0439153686165809,139.0102362862479
62,17,low,"(16, 23)","[0, 1500]",0.9895833333333334,0.0700997908910115,110.33236924182208
63,17,low,"(16, 23)","[0, 2000]",0.9895833333333334,0.0731125225623448,83.56171119017738
64,17,low,"(17, 24)","[0, 500]",0.75,0.035573698580265,166.57462630834894
65,17,low,"(17, 24)","[0, 1000]",0.9270833333333334,0.0442423646648724,138.9667063553853
66,17,low,"(17, 24)","[0, 1500]",0.96875,0.067335657775402,103.80601580474841
67,17,low,"(17, 24)","[0, 2000]",0.9895833333333334,0.0740266690651575,83.52488059045899
68,17,low,"(18, 25)","[0, 500]",0.7083333333333334,0.0355942224462827,146.78915009721783
69,17,low,"(18, 25)","[0, 1000]",0.9166666666666666,0.0435914471745491,135.23895270855752
70,17,low,"(18, 25)","[0, 1500]",0.9791666666666666,0.0678284093737602,106.97927804944833
