Unnamed: 0,subject,depth,target,time_window,accuracy,itr
0,20,low,"(1, 8)","[0, 500]",0.1354166666666666,0.06992764335089774
1,20,low,"(1, 8)","[0, 1000]",0.125,0.0
2,20,low,"(1, 8)","[0, 1500]",0.1458333333333333,0.10262875372452074
3,20,low,"(1, 8)","[0, 2000]",0.2291666666666666,1.698327489603914
4,20,low,"(2, 9)","[0, 500]",0.125,0.0
5,20,low,"(2, 9)","[0, 1000]",0.1354166666666666,0.03814235091867149
6,20,low,"(2, 9)","[0, 1500]",0.1875,0.8554449638644102
7,20,low,"(2, 9)","[0, 2000]",0.2708333333333333,3.151785489450225
8,20,low,"(3, 10)","[0, 500]",0.1458333333333333,0.27367667659872197
9,20,low,"(3, 10)","[0, 1000]",0.1979166666666666,1.6650325689028425
10,20,low,"(3, 10)","[0, 1500]",0.3020833333333333,5.8829081141718085
11,20,low,"(3, 10)","[0, 2000]",0.3645833333333333,7.706795496924114
12,20,low,"(4, 11)","[0, 500]",0.1875,2.2811865703050938
13,20,low,"(4, 11)","[0, 1000]",0.46875,27.895216296143666
14,20,low,"(4, 11)","[0, 1500]",0.5416666666666666,26.936656220161055
15,20,low,"(4, 11)","[0, 2000]",0.5625,22.373794666037163
16,20,low,"(5, 12)","[0, 500]",0.3125,17.390525855083983
17,20,low,"(5, 12)","[0, 1000]",0.6458333333333334,58.25422751551606
18,20,low,"(5, 12)","[0, 1500]",0.6770833333333334,44.472496412432015
19,20,low,"(5, 12)","[0, 2000]",0.6875,35.0475244092126
20,20,low,"(6, 13)","[0, 500]",0.4895833333333333,56.73923660462559
21,20,low,"(6, 13)","[0, 1000]",0.8229166666666666,99.77506458127081
22,20,low,"(6, 13)","[0, 1500]",0.84375,72.60331455769035
23,20,low,"(6, 13)","[0, 2000]",0.8645833333333334,58.50654020287176
24,20,low,"(7, 14)","[0, 500]",0.5833333333333334,85.04000258248455
25,20,low,"(7, 14)","[0, 1000]",0.8541666666666666,108.61526381218854
26,20,low,"(7, 14)","[0, 1500]",0.8854166666666666,81.17760670501964
27,20,low,"(7, 14)","[0, 2000]",0.875,60.15760547266293
28,20,low,"(8, 15)","[0, 500]",0.7291666666666666,139.70168314071597
29,20,low,"(8, 15)","[0, 1000]",0.9375,135.66819549569374
30,20,low,"(8, 15)","[0, 1500]",0.96875,101.68679378898696
31,20,low,"(8, 15)","[0, 2000]",0.9895833333333334,82.49182375004509
32,20,low,"(9, 16)","[0, 500]",0.6875,122.6663354322441
33,20,low,"(9, 16)","[0, 1000]",0.90625,124.79705385458563
34,20,low,"(9, 16)","[0, 1500]",0.9583333333333334,98.74292195304054
35,20,low,"(9, 16)","[0, 2000]",0.9791666666666666,79.86911968581894
36,20,low,"(10, 17)","[0, 500]",0.7708333333333334,158.0092044917339
37,20,low,"(10, 17)","[0, 1000]",0.9270833333333334,131.92265641294227
38,20,low,"(10, 17)","[0, 1500]",0.9583333333333334,98.74292195304054
39,20,low,"(10, 17)","[0, 2000]",0.9791666666666666,79.86911968581894
40,20,low,"(11, 18)","[0, 500]",0.8333333333333334,188.20850913420452
41,20,low,"(11, 18)","[0, 1000]",0.90625,124.79705385458563
42,20,low,"(11, 18)","[0, 1500]",0.9479166666666666,95.94756955195277
43,20,low,"(11, 18)","[0, 2000]",0.9791666666666666,79.86911968581894
44,20,low,"(12, 19)","[0, 500]",0.8958333333333334,222.55010475359063
45,20,low,"(12, 19)","[0, 1000]",0.9375,135.66819549569374
46,20,low,"(12, 19)","[0, 1500]",1.0,112.5
47,20,low,"(12, 19)","[0, 2000]",1.0,85.71428571428571
48,20,low,"(13, 20)","[0, 500]",0.9166666666666666,235.22369061915657
49,20,low,"(13, 20)","[0, 1000]",0.96875,147.9080636930719
50,20,low,"(13, 20)","[0, 1500]",0.9791666666666666,104.82821958763738
51,20,low,"(13, 20)","[0, 2000]",0.9791666666666666,79.86911968581894
52,20,low,"(14, 21)","[0, 500]",0.9270833333333334,241.8582034237275
53,20,low,"(14, 21)","[0, 1000]",0.9583333333333334,143.6260682953317
54,20,low,"(14, 21)","[0, 1500]",0.9895833333333334,108.27051867193418
55,20,low,"(14, 21)","[0, 2000]",0.96875,77.47565241065672
56,20,low,"(15, 22)","[0, 500]",0.8854166666666666,216.47361788005236
