,subject,depth,target,time_window,accuracy
0,23,high,"(1, 4)","[0, 500]",0.2708333333333333
1,23,high,"(1, 4)","[0, 1000]",0.25
2,23,high,"(1, 4)","[0, 1500]",0.25
3,23,high,"(1, 4)","[0, 2000]",0.25
4,23,high,"(2, 5)","[0, 500]",0.25
5,23,high,"(2, 5)","[0, 1000]",0.3125
6,23,high,"(2, 5)","[0, 1500]",0.4375
7,23,high,"(2, 5)","[0, 2000]",0.6041666666666666
8,23,high,"(3, 6)","[0, 500]",0.25
9,23,high,"(3, 6)","[0, 1000]",0.5833333333333334
10,23,high,"(3, 6)","[0, 1500]",0.75
11,23,high,"(3, 6)","[0, 2000]",0.75
12,23,high,"(4, 7)","[0, 500]",0.3125
13,23,high,"(4, 7)","[0, 1000]",0.7708333333333334
14,23,high,"(4, 7)","[0, 1500]",0.9166666666666666
15,23,high,"(4, 7)","[0, 2000]",0.9791666666666666
16,23,high,"(5, 8)","[0, 500]",0.4375
17,23,high,"(5, 8)","[0, 1000]",0.7291666666666666
18,23,high,"(5, 8)","[0, 1500]",0.8958333333333334
19,23,high,"(5, 8)","[0, 2000]",1.0
20,23,high,"(6, 9)","[0, 500]",0.4375
21,23,high,"(6, 9)","[0, 1000]",0.6875
22,23,high,"(6, 9)","[0, 1500]",0.9166666666666666
23,23,high,"(6, 9)","[0, 2000]",1.0
24,23,high,"(7, 10)","[0, 500]",0.3958333333333333
25,23,high,"(7, 10)","[0, 1000]",0.7916666666666666
26,23,high,"(7, 10)","[0, 1500]",0.9791666666666666
27,23,high,"(7, 10)","[0, 2000]",1.0
28,23,high,"(8, 11)","[0, 500]",0.3333333333333333
29,23,high,"(8, 11)","[0, 1000]",0.75
30,23,high,"(8, 11)","[0, 1500]",0.9583333333333334
31,23,high,"(8, 11)","[0, 2000]",1.0
32,23,high,"(9, 12)","[0, 500]",0.3125
33,23,high,"(9, 12)","[0, 1000]",0.9166666666666666
34,23,high,"(9, 12)","[0, 1500]",1.0
35,23,high,"(9, 12)","[0, 2000]",1.0
36,23,high,"(10, 13)","[0, 500]",0.3958333333333333
37,23,high,"(10, 13)","[0, 1000]",0.9583333333333334
38,23,high,"(10, 13)","[0, 1500]",1.0
39,23,high,"(10, 13)","[0, 2000]",1.0
40,23,high,"(11, 14)","[0, 500]",0.3958333333333333
41,23,high,"(11, 14)","[0, 1000]",0.9583333333333334
42,23,high,"(11, 14)","[0, 1500]",1.0
43,23,high,"(11, 14)","[0, 2000]",1.0
44,23,high,"(12, 15)","[0, 500]",0.5625
45,23,high,"(12, 15)","[0, 1000]",0.9791666666666666
46,23,high,"(12, 15)","[0, 1500]",1.0
47,23,high,"(12, 15)","[0, 2000]",1.0
48,23,high,"(13, 16)","[0, 500]",0.7708333333333334
49,23,high,"(13, 16)","[0, 1000]",1.0
50,23,high,"(13, 16)","[0, 1500]",1.0
51,23,high,"(13, 16)","[0, 2000]",1.0
52,23,high,"(14, 17)","[0, 500]",0.9166666666666666
53,23,high,"(14, 17)","[0, 1000]",1.0
54,23,high,"(14, 17)","[0, 1500]",1.0
55,23,high,"(14, 17)","[0, 2000]",1.0
56,23,high,"(15, 18)","[0, 500]",0.8958333333333334
57,23,high,"(15, 18)","[0, 1000]",1.0
58,23,high,"(15, 18)","[0, 1500]",1.0
59,23,high,"(15, 18)","[0, 2000]",1.0
60,23,high,"(16, 19)","[0, 500]",0.875
61,23,high,"(16, 19)","[0, 1000]",1.0
62,23,high,"(16, 19)","[0, 1500]",1.0
63,23,high,"(16, 19)","[0, 2000]",1.0
64,23,high,"(17, 20)","[0, 500]",0.7708333333333334
65,23,high,"(17, 20)","[0, 1000]",0.9583333333333334
