,subject,depth,target,time_window,accuracy,time
0,23,low,"(1, 4)","[0, 500]",0.20833333333333334,0.009025022387504578
1,23,low,"(1, 4)","[0, 1000]",0.25,0.010207027196884155
2,23,low,"(1, 4)","[0, 1500]",0.2708333333333333,0.013124744097391764
3,23,low,"(1, 4)","[0, 2000]",0.25,0.014430945118268331
4,23,low,"(2, 5)","[0, 500]",0.25,0.008445600668589274
5,23,low,"(2, 5)","[0, 1000]",0.2916666666666667,0.009587099154790243
6,23,low,"(2, 5)","[0, 1500]",0.2708333333333333,0.01313336193561554
7,23,low,"(2, 5)","[0, 2000]",0.2916666666666667,0.014577711621920267
8,23,low,"(3, 6)","[0, 500]",0.2708333333333333,0.00833753248055776
9,23,low,"(3, 6)","[0, 1000]",0.3125,0.00937234361966451
10,23,low,"(3, 6)","[0, 1500]",0.3125,0.012952869137128195
11,23,low,"(3, 6)","[0, 2000]",0.3125,0.014052440722783407
12,23,low,"(4, 7)","[0, 500]",0.125,0.008242468039194742
13,23,low,"(4, 7)","[0, 1000]",0.3333333333333333,0.009584377209345499
14,23,low,"(4, 7)","[0, 1500]",0.5416666666666666,0.01300277809302012
15,23,low,"(4, 7)","[0, 2000]",0.5416666666666666,0.01435789962609609
16,23,low,"(5, 8)","[0, 500]",0.22916666666666666,0.008754874269167582
17,23,low,"(5, 8)","[0, 1000]",0.6666666666666666,0.00955626368522644
18,23,low,"(5, 8)","[0, 1500]",0.7708333333333334,0.013235519329706827
19,23,low,"(5, 8)","[0, 2000]",0.875,0.014602323373158773
20,23,low,"(6, 9)","[0, 500]",0.25,0.00903095801671346
21,23,low,"(6, 9)","[0, 1000]",0.6875,0.009661341706911722
22,23,low,"(6, 9)","[0, 1500]",0.8541666666666666,0.013448322812716166
23,23,low,"(6, 9)","[0, 2000]",0.8958333333333334,0.014510616660118103
24,23,low,"(7, 10)","[0, 500]",0.3541666666666667,0.00883910059928894
25,23,low,"(7, 10)","[0, 1000]",0.7916666666666666,0.009641254941622416
26,23,low,"(7, 10)","[0, 1500]",0.9583333333333334,0.013371442755063375
27,23,low,"(7, 10)","[0, 2000]",0.9375,0.014343942205111185
28,23,low,"(8, 11)","[0, 500]",0.4166666666666667,0.008750617504119873
29,23,low,"(8, 11)","[0, 1000]",0.7916666666666666,0.009589806199073792
30,23,low,"(8, 11)","[0, 1500]",0.9583333333333334,0.013371780514717102
31,23,low,"(8, 11)","[0, 2000]",0.9583333333333334,0.01513257622718811
32,23,low,"(9, 12)","[0, 500]",0.4791666666666667,0.00896058976650238
33,23,low,"(9, 12)","[0, 1000]",0.8125,0.009577994545300802
34,23,low,"(9, 12)","[0, 1500]",0.9583333333333334,0.0135526309410731
35,23,low,"(9, 12)","[0, 2000]",0.9791666666666666,0.014497250318527222
36,23,low,"(10, 13)","[0, 500]",0.3958333333333333,0.008670533696810404
37,23,low,"(10, 13)","[0, 1000]",0.75,0.009375755985577902
38,23,low,"(10, 13)","[0, 1500]",0.8541666666666666,0.01312220593293508
39,23,low,"(10, 13)","[0, 2000]",0.9166666666666666,0.013991892337799072
40,23,low,"(11, 14)","[0, 500]",0.4375,0.008715560038884481
41,23,low,"(11, 14)","[0, 1000]",0.75,0.009376938144365946
42,23,low,"(11, 14)","[0, 1500]",0.9583333333333334,0.013283982872962952
43,23,low,"(11, 14)","[0, 2000]",0.9375,0.013997559746106466
44,23,low,"(12, 15)","[0, 500]",0.5208333333333334,0.008990521232287088
45,23,low,"(12, 15)","[0, 1000]",0.8333333333333334,0.009755834937095642
46,23,low,"(12, 15)","[0, 1500]",0.8958333333333334,0.01375556488831838
47,23,low,"(12, 15)","[0, 2000]",0.8958333333333334,0.014674430092175802
48,23,low,"(13, 16)","[0, 500]",0.4166666666666667,0.009447003404299418
49,23,low,"(13, 16)","[0, 1000]",0.7291666666666666,0.010004053513209024
50,23,low,"(13, 16)","[0, 1500]",0.8541666666666666,0.013539473215738932
51,23,low,"(13, 16)","[0, 2000]",0.8958333333333334,0.014346897602081299
52,23,low,"(14, 17)","[0, 500]",0.3125,0.009097933769226074
53,23,low,"(14, 17)","[0, 1000]",0.6041666666666666,0.009825060764948526
54,23,low,"(14, 17)","[0, 1500]",0.7083333333333334,0.014137610793113708
55,23,low,"(14, 17)","[0, 2000]",0.7708333333333334,0.014157702525456747
56,23,low,"(15, 18)","[0, 500]",0.375,0.008954539895057678
57,23,low,"(15, 18)","[0, 1000]",0.5,0.009704227248827616
58,23,low,"(15, 18)","[0, 1500]",0.7291666666666666,0.014186660448710123
59,23,low,"(15, 18)","[0, 2000]",0.7916666666666666,0.0145882119735082
60,23,low,"(16, 19)","[0, 500]",0.5,0.009163225690523783
61,23,low,"(16, 19)","[0, 1000]",0.3958333333333333,0.009735291202863058
62,23,low,"(16, 19)","[0, 1500]",0.6875,0.014376521110534668
63,23,low,"(16, 19)","[0, 2000]",0.7291666666666666,0.014488021532694498
64,23,low,"(17, 20)","[0, 500]",0.4166666666666667,0.00918281078338623
65,23,low,"(17, 20)","[0, 1000]",0.3541666666666667,0.009795089562733969
66,23,low,"(17, 20)","[0, 1500]",0.5416666666666666,0.014380241433779398
67,23,low,"(17, 20)","[0, 2000]",0.7083333333333334,0.015476346015930176
68,23,low,"(18, 21)","[0, 500]",0.5,0.009309113025665283
69,23,low,"(18, 21)","[0, 1000]",0.4166666666666667,0.009760181109110514
70,23,low,"(18, 21)","[0, 1500]",0.5625,0.013630886872609457
