Unnamed: 0,subject,depth,target,time_window,accuracy,time,itr
0,24,high,"(1, 2)","[0, 500]",0.2916666666666667,0.0290728310743967,14.644735829930765
1,24,high,"(1, 2)","[0, 1000]",0.5,0.0188037852446238,0.0
2,24,high,"(1, 2)","[0, 1500]",0.5,0.0297204454739888,0.0
3,24,high,"(1, 2)","[0, 2000]",0.5,0.0255588591098785,0.0
4,24,high,"(2, 3)","[0, 500]",0.5,0.0312863886356353,0.0
5,24,high,"(2, 3)","[0, 1000]",0.5,0.0159801542758941,0.0
6,24,high,"(2, 3)","[0, 1500]",0.5416666666666666,0.0255578458309173,0.19724608258161755
7,24,high,"(2, 3)","[0, 2000]",0.4583333333333333,0.0252725481986999,0.14857768605486343
8,24,high,"(3, 4)","[0, 500]",0.625,0.0215958654880523,5.241528941077699
9,24,high,"(3, 4)","[0, 1000]",0.625,0.0141920149326324,2.695702376126181
10,24,high,"(3, 4)","[0, 1500]",0.7083333333333334,0.0211776594320933,5.093508833656395
11,24,high,"(3, 4)","[0, 2000]",0.7916666666666666,0.0212603310743967,7.768869645329715
12,24,high,"(4, 5)","[0, 500]",0.5,0.0156190892060597,0.0
13,24,high,"(4, 5)","[0, 1000]",0.5833333333333334,0.0133859316507975,1.1919196460160248
14,24,high,"(4, 5)","[0, 1500]",0.7916666666666666,0.017905056476593,10.345118730840143
15,24,high,"(4, 5)","[0, 2000]",0.7916666666666666,0.020154446363449,7.773122525191242
16,24,high,"(5, 6)","[0, 500]",0.5833333333333334,0.0144710540771484,2.3477989507058044
17,24,high,"(5, 6)","[0, 1000]",0.7083333333333334,0.0140139460563659,7.641050575301883
18,24,high,"(5, 6)","[0, 1500]",0.75,0.0208118557929992,7.445570922740932
19,24,high,"(5, 6)","[0, 2000]",0.8333333333333334,0.0209149022897084,10.390667453294125
20,24,high,"(6, 7)","[0, 500]",0.4583333333333333,0.0132112701733907,0.5863283336317533
21,24,high,"(6, 7)","[0, 1000]",0.7083333333333334,0.0154533584912618,7.63021933118635
22,24,high,"(6, 7)","[0, 1500]",0.875,0.0193748772144317,18.024605920977834
23,24,high,"(6, 7)","[0, 2000]",0.9166666666666666,0.0217534601688385,17.396279850484248
24,24,high,"(7, 8)","[0, 500]",0.5416666666666666,0.0114972392717997,0.588293124064941
