subject,depth,target,time_window,accuracy,time,itr
9,high,"(1, 2)","[0, 500]",0.5,0.0041031042734781,0.0
9,high,"(1, 2)","[0, 1000]",0.5416666666666666,0.0046181579430898,0.2995270456368218
9,high,"(1, 2)","[0, 1500]",0.5,0.005706121524175,0.0
9,high,"(1, 2)","[0, 2000]",0.5,0.0069440106550852,0.0
9,high,"(2, 3)","[0, 500]",0.5,0.0041272143522898,0.0
9,high,"(2, 3)","[0, 1000]",0.375,0.0041838884353637,2.7225688999670434
9,high,"(2, 3)","[0, 1500]",0.375,0.0068950553735097,1.814300083309012
9,high,"(2, 3)","[0, 2000]",0.5833333333333334,0.006251037120819,0.6020555646237896
9,high,"(3, 4)","[0, 500]",0.5833333333333334,0.0043434898058573,2.3949443689573533
9,high,"(3, 4)","[0, 1000]",0.5416666666666666,0.0045756796995798,0.299539711066654
9,high,"(3, 4)","[0, 1500]",0.7083333333333334,0.0062274932861328,5.144064811201957
9,high,"(3, 4)","[0, 2000]",0.6666666666666666,0.0062519113222757,2.443486747135191
9,high,"(4, 5)","[0, 500]",0.375,0.0044748584429423,5.419417397609155
9,high,"(4, 5)","[0, 1000]",0.4583333333333333,0.0045421222845713,0.29954971739508246
9,high,"(4, 5)","[0, 1500]",0.7083333333333334,0.0062177876631418,5.144097958037766
9,high,"(4, 5)","[0, 2000]",0.625,0.0069513618946075,1.362245182624245
9,high,"(5, 6)","[0, 500]",0.5416666666666666,0.0049058198928833,0.5959731438739176
9,high,"(5, 6)","[0, 1000]",0.4583333333333333,0.0041284263134002,0.2996731304048174
9,high,"(5, 6)","[0, 1500]",0.6666666666666666,0.0069314340750376,3.253134048358115
9,high,"(5, 6)","[0, 2000]",0.75,0.0062494874000549,5.644020149820037
9,high,"(6, 7)","[0, 500]",0.5416666666666666,0.0045200486977895,0.5964288428546607
9,high,"(6, 7)","[0, 1000]",0.6666666666666666,0.0045056839783986,4.88026104273995
9,high,"(6, 7)","[0, 1500]",0.75,0.0063007473945617,7.517298621830924
9,high,"(6, 7)","[0, 2000]",0.9583333333333334,0.0061100423336029,22.43499184005605
9,high,"(7, 8)","[0, 500]",0.5833333333333334,0.004419595003128,2.3945830274958846
9,high,"(7, 8)","[0, 1000]",0.7916666666666666,0.0045407712459564,15.631927026631551
9,high,"(7, 8)","[0, 1500]",0.875,0.0062638024489084,18.181498727845277
9,high,"(7, 8)","[0, 2000]",1.0,0.0062280396620432,29.906869415556187
9,high,"(8, 9)","[0, 500]",0.6666666666666666,0.00425386428833,9.721789566549644
9,high,"(8, 9)","[0, 1000]",1.0,0.0042679111162821,59.7450135923468
9,high,"(8, 9)","[0, 1500]",0.9583333333333334,0.0059410631656646,29.886337208574915
9,high,"(8, 9)","[0, 2000]",1.0,0.0069452822208404,29.896181291801515
9,high,"(9, 10)","[0, 500]",0.6666666666666666,0.0040834546089172,9.725076099817512
9,high,"(9, 10)","[0, 1000]",0.7916666666666666,0.0041655798753102,15.637767661128994
9,high,"(9, 10)","[0, 1500]",0.7916666666666666,0.0062499741713205,10.425167336538607
9,high,"(9, 10)","[0, 2000]",0.875,0.0062504808108011,13.650405903931025
9,high,"(10, 11)","[0, 500]",0.625,0.0044617354869842,5.41955837713411
9,high,"(10, 11)","[0, 1000]",0.7083333333333334,0.0045922100543975,7.712713445646344
9,high,"(10, 11)","[0, 1500]",0.875,0.0061392684777577,18.18300205113379
9,high,"(10, 11)","[0, 2000]",0.875,0.006947378317515,13.64566590230325
9,high,"(11, 12)","[0, 500]",0.5,0.0045781930287679,0.0
9,high,"(11, 12)","[0, 1000]",0.75,0.0044197042783101,11.273487053490246
9,high,"(11, 12)","[0, 1500]",0.875,0.0070600907007853,18.171892134234422
9,high,"(11, 12)","[0, 2000]",0.875,0.0075113475322723,13.641832431825874
9,high,"(12, 13)","[0, 500]",0.375,0.0047349333763122,5.41662493264312
9,high,"(12, 13)","[0, 1000]",0.7083333333333334,0.0049421588579813,7.710027664361424
9,high,"(12, 13)","[0, 1500]",0.7916666666666666,0.0077518026034037,10.414783125630548
9,high,"(12, 13)","[0, 2000]",0.9583333333333334,0.008289078871409,22.41064939480791
9,high,"(13, 14)","[0, 500]",0.4166666666666667,0.0048138995965321,2.3927126449890035
9,high,"(13, 14)","[0, 1000]",0.8333333333333334,0.0047130386034647,20.900151480353585
9,high,"(13, 14)","[0, 1500]",1.0,0.0076380670070648,39.79735011540992
9,high,"(13, 14)","[0, 2000]",0.9583333333333334,0.0083338916301727,22.410149337009127
9,high,"(14, 15)","[0, 500]",0.875,0.0054189960161844,54.1850101082217
9,high,"(14, 15)","[0, 1000]",0.9583333333333334,0.0042865971724192,44.81495875452962
9,high,"(14, 15)","[0, 1500]",1.0,0.0069235861301422,39.816219317452656
9,high,"(14, 15)","[0, 2000]",1.0,0.0076153775056203,29.886202642334574
9,high,"(15, 16)","[0, 500]",0.5416666666666666,0.0048638681570688,0.5960226663481156
9,high,"(15, 16)","[0, 1000]",0.9166666666666666,0.0048615137736002,35.00083195514457
9,high,"(15, 16)","[0, 1500]",1.0,0.0066314140955607,39.823940639136566
9,high,"(15, 16)","[0, 2000]",1.0,0.0064452389876047,29.903631972669384
9,high,"(16, 17)","[0, 500]",0.5,0.00459819038709,0.0
9,high,"(16, 17)","[0, 1000]",0.7916666666666666,0.0050409038861592,15.624148202003562
9,high,"(16, 17)","[0, 1500]",0.9166666666666666,0.0062514146169026,23.350012249268026
9,high,"(16, 17)","[0, 2000]",0.9166666666666666,0.0076348483562469,17.518618493088148
9,high,"(17, 18)","[0, 500]",0.625,0.0043793320655822,5.4204438022980135
9,high,"(17, 18)","[0, 1000]",0.8333333333333334,0.0045719544092814,20.90308674150334
9,high,"(17, 18)","[0, 1500]",0.9583333333333334,0.006443699200948,29.876365412050674
9,high,"(17, 18)","[0, 2000]",0.9583333333333334,0.0067431926727294,22.427913344539682
9,high,"(18, 19)","[0, 500]",0.7083333333333334,0.0046615501244862,15.353124968539559
9,high,"(18, 19)","[0, 1000]",0.875,0.0050200819969177,27.249339489425452
9,high,"(18, 19)","[0, 1500]",0.9166666666666666,0.0062485436598459,23.350056755125127
9,high,"(18, 19)","[0, 2000]",1.0,0.0069460570812225,29.89616974920605
9,high,"(19, 20)","[0, 500]",0.75,0.0045395294825236,22.44286497049237
9,high,"(19, 20)","[0, 1000]",0.9166666666666666,0.0044535299142201,35.0150484162125
9,high,"(19, 20)","[0, 1500]",0.9583333333333334,0.0062352021535237,29.880500977311183
9,high,"(19, 20)","[0, 2000]",1.0,0.006900409857432,29.896849741668216
9,high,"(20, 21)","[0, 500]",0.8333333333333334,0.0044365127881368,41.62794359400026
9,high,"(20, 21)","[0, 1000]",0.9583333333333334,0.0045557717482248,44.802950414274406
9,high,"(20, 21)","[0, 1500]",1.0,0.0062417884667714,39.83424205822559
9,high,"(20, 21)","[0, 2000]",1.0,0.0062505006790161,29.90653459261093
9,high,"(21, 22)","[0, 500]",0.5416666666666666,0.0046434998512268,0.5962829382138294
9,high,"(21, 22)","[0, 1000]",0.9166666666666666,0.0045999288558959,35.00994572221102
9,high,"(21, 22)","[0, 1500]",0.9583333333333334,0.0059936344623565,29.88529393490863
9,high,"(21, 22)","[0, 2000]",0.9583333333333334,0.0062502920627593,22.43342349061249
9,high,"(22, 23)","[0, 500]",0.7083333333333334,0.0042592287063598,15.36537440426305
9,high,"(22, 23)","[0, 1000]",1.0,0.0042959849039713,59.743343498218884
9,high,"(22, 23)","[0, 1500]",1.0,0.0063460568586985,39.831484755317575
9,high,"(22, 23)","[0, 2000]",1.0,0.006945252418518,29.89618173574767
9,high,"(23, 24)","[0, 500]",0.7083333333333334,0.0045287013053894,15.35716764146627
9,high,"(23, 24)","[0, 1000]",0.9166666666666666,0.0042482217152913,35.02220688198848
9,high,"(23, 24)","[0, 1500]",0.9583333333333334,0.0056383808453877,29.892345335098494
9,high,"(23, 24)","[0, 2000]",0.9583333333333334,0.0062496960163116,22.433430155467022
9,high,"(24, 25)","[0, 500]",0.75,0.0042824844519297,22.454304643871517
9,high,"(24, 25)","[0, 1000]",1.0,0.0040516257286071,59.75788342204015
9,high,"(24, 25)","[0, 1500]",1.0,0.0062069396177927,39.835163696181944
9,high,"(24, 25)","[0, 2000]",1.0,0.0069433748722076,29.896209704382173
