,subject,depth,target,time_window,accuracy,time
0,17,low,"(1, 8)","[0, 500]",0.10416666666666667,0.10937431951363881
1,17,low,"(1, 8)","[0, 1000]",0.125,0.07045268267393112
2,17,low,"(1, 8)","[0, 1500]",0.10416666666666667,0.09265370418628056
3,17,low,"(1, 8)","[0, 2000]",0.14583333333333334,0.08547079563140869
4,17,low,"(2, 9)","[0, 500]",0.125,0.07712388038635254
5,17,low,"(2, 9)","[0, 1000]",0.13541666666666666,0.05750755717357
6,17,low,"(2, 9)","[0, 1500]",0.15625,0.0856717179218928
7,17,low,"(2, 9)","[0, 2000]",0.17708333333333334,0.0841786339879036
8,17,low,"(3, 10)","[0, 500]",0.14583333333333334,0.05783188591400782
9,17,low,"(3, 10)","[0, 1000]",0.2604166666666667,0.05415305495262146
10,17,low,"(3, 10)","[0, 1500]",0.3333333333333333,0.07977018256982167
11,17,low,"(3, 10)","[0, 2000]",0.3958333333333333,0.08072229226430257
12,17,low,"(4, 11)","[0, 500]",0.15625,0.05176700154940287
13,17,low,"(4, 11)","[0, 1000]",0.5104166666666666,0.052237801253795624
14,17,low,"(4, 11)","[0, 1500]",0.6458333333333334,0.07856454700231552
15,17,low,"(4, 11)","[0, 2000]",0.65625,0.07980242371559143
16,17,low,"(5, 12)","[0, 500]",0.23958333333333334,0.0477683295806249
17,17,low,"(5, 12)","[0, 1000]",0.6145833333333334,0.0507561539610227
18,17,low,"(5, 12)","[0, 1500]",0.7083333333333334,0.07720648497343063
19,17,low,"(5, 12)","[0, 2000]",0.7083333333333334,0.07772750904162724
20,17,low,"(6, 13)","[0, 500]",0.3333333333333333,0.04581288496653239
21,17,low,"(6, 13)","[0, 1000]",0.75,0.049261187513669334
22,17,low,"(6, 13)","[0, 1500]",0.84375,0.07468131681283315
23,17,low,"(6, 13)","[0, 2000]",0.84375,0.07578049103418986
24,17,low,"(7, 14)","[0, 500]",0.3645833333333333,0.04483537624279658
