,subject,depth,target,time_window,accuracy,time
0,7,high,"(1, 2)","[0, 500]",0.5,0.041792720556259155
1,7,high,"(1, 2)","[0, 1000]",0.5,0.020855913559595745
2,7,high,"(1, 2)","[0, 1500]",0.5,0.02632451057434082
3,7,high,"(1, 2)","[0, 2000]",0.5,0.02531607945760091
4,7,high,"(2, 3)","[0, 500]",0.4583333333333333,0.02951231598854065
5,7,high,"(2, 3)","[0, 1000]",0.4583333333333333,0.014864673217137655
6,7,high,"(2, 3)","[0, 1500]",0.5416666666666666,0.02294221520423889
7,7,high,"(2, 3)","[0, 2000]",0.5416666666666666,0.02418344219525655
8,7,high,"(3, 4)","[0, 500]",0.5416666666666666,0.022065967321395874
9,7,high,"(3, 4)","[0, 1000]",0.5416666666666666,0.013837953408559164
10,7,high,"(3, 4)","[0, 1500]",0.625,0.020853191614151
11,7,high,"(3, 4)","[0, 2000]",0.75,0.020930886268615723
12,7,high,"(4, 5)","[0, 500]",0.4583333333333333,0.01769868532816569
13,7,high,"(4, 5)","[0, 1000]",0.7916666666666666,0.013669480880101522
14,7,high,"(4, 5)","[0, 1500]",0.9583333333333334,0.018792102734247845
15,7,high,"(4, 5)","[0, 2000]",1.0,0.020149260759353638
16,7,high,"(5, 6)","[0, 500]",0.4583333333333333,0.014410912990570068
17,7,high,"(5, 6)","[0, 1000]",0.75,0.01429771383603414
18,7,high,"(5, 6)","[0, 1500]",0.9583333333333334,0.019286980231602985
19,7,high,"(5, 6)","[0, 2000]",1.0,0.021233002344767254
20,7,high,"(6, 7)","[0, 500]",0.4166666666666667,0.013157874345779419
21,7,high,"(6, 7)","[0, 1000]",0.6666666666666666,0.014684369166692099
22,7,high,"(6, 7)","[0, 1500]",0.9166666666666666,0.021519800027211506
23,7,high,"(6, 7)","[0, 2000]",1.0,0.01921231547991435
24,7,high,"(7, 8)","[0, 500]",0.8333333333333334,0.012314250071843466
25,7,high,"(7, 8)","[0, 1000]",0.9583333333333334,0.012346287568410238
26,7,high,"(7, 8)","[0, 1500]",0.9583333333333334,0.01749838391939799
27,7,high,"(7, 8)","[0, 2000]",1.0,0.017107635736465454
28,7,high,"(8, 9)","[0, 500]",0.75,0.011193623145421347
29,7,high,"(8, 9)","[0, 1000]",1.0,0.01168594757715861
30,7,high,"(8, 9)","[0, 1500]",1.0,0.016604532798131306
31,7,high,"(8, 9)","[0, 2000]",1.0,0.017113735278447468
32,7,high,"(9, 10)","[0, 500]",0.8333333333333334,0.010697623093922934
33,7,high,"(9, 10)","[0, 1000]",1.0,0.011654516061147055
34,7,high,"(9, 10)","[0, 1500]",1.0,0.01701025168100993
35,7,high,"(9, 10)","[0, 2000]",1.0,0.018446296453475952
36,7,high,"(10, 11)","[0, 500]",0.8333333333333334,0.01031494140625
37,7,high,"(10, 11)","[0, 1000]",1.0,0.012139439582824707
38,7,high,"(10, 11)","[0, 1500]",1.0,0.018335700035095215
39,7,high,"(10, 11)","[0, 2000]",1.0,0.019720276196797688
40,7,high,"(11, 12)","[0, 500]",0.9583333333333334,0.012543578942616781
41,7,high,"(11, 12)","[0, 1000]",1.0,0.012862275044123331
42,7,high,"(11, 12)","[0, 1500]",1.0,0.016991029183069866
43,7,high,"(11, 12)","[0, 2000]",1.0,0.018309394518534344
44,7,high,"(12, 13)","[0, 500]",0.9583333333333334,0.010380168755849203
45,7,high,"(12, 13)","[0, 1000]",1.0,0.011420677105585733
46,7,high,"(12, 13)","[0, 1500]",1.0,0.0179977019627889
47,7,high,"(12, 13)","[0, 2000]",1.0,0.019479304552078247
48,7,high,"(13, 14)","[0, 500]",0.9583333333333334,0.010778506596883139
49,7,high,"(13, 14)","[0, 1000]",1.0,0.011776814858118692
50,7,high,"(13, 14)","[0, 1500]",1.0,0.01800219217936198
51,7,high,"(13, 14)","[0, 2000]",1.0,0.018056750297546387
52,7,high,"(14, 15)","[0, 500]",0.9166666666666666,0.011040717363357544
53,7,high,"(14, 15)","[0, 1000]",1.0,0.010572473208109537
54,7,high,"(14, 15)","[0, 1500]",1.0,0.01597912112871806
55,7,high,"(14, 15)","[0, 2000]",1.0,0.01795138915379842
56,7,high,"(15, 16)","[0, 500]",0.9583333333333334,0.009393533070882162
57,7,high,"(15, 16)","[0, 1000]",1.0,0.010270029306411743
58,7,high,"(15, 16)","[0, 1500]",1.0,0.015346844991048178
59,7,high,"(15, 16)","[0, 2000]",1.0,0.016550729672114056
